Date,Time,Contracts,Funding Rate
2019/12/18,16:00:00,BTCUSDT Perpetual,-0.02
2019/12/19,00:00:00,BTCUSDT Perpetual,-0.02
2019/12/19,08:00:00,BTCUSDT Perpetual,0.01
2019/12/19,16:00:00,BTCUSDT Perpetual,0.01
2019/12/20,00:00:00,BTCUSDT Perpetual,0.01
2019/12/20,08:00:00,BTCUSDT Perpetual,0.0
2019/12/20,16:00:00,BTCUSDT Perpetual,0.0
2019/12/21,00:00:00,BTCUSDT Perpetual,0.0
2019/12/21,08:00:00,BTCUSDT Perpetual,0.0
2019/12/21,16:00:00,BTCUSDT Perpetual,0.01
2019/12/22,00:00:00,BTCUSDT Perpetual,0.01
2019/12/22,08:00:00,BTCUSDT Perpetual,0.01
2019/12/22,16:00:00,BTCUSDT Perpetual,0.01
2019/12/23,00:00:00,BTCUSDT Perpetual,0.0
2019/12/23,08:00:00,BTCUSDT Perpetual,0.01
2019/12/23,16:00:00,BTCUSDT Perpetual,0.01
2019/12/24,00:00:00,BTCUSDT Perpetual,0.01
2019/12/24,08:00:00,BTCUSDT Perpetual,0.01
2019/12/24,16:00:00,BTCUSDT Perpetual,0.01
2019/12/25,00:00:00,BTCUSDT Perpetual,0.01
2019/12/25,08:00:00,BTCUSDT Perpetual,0.01
2019/12/25,16:00:00,BTCUSDT Perpetual,0.01
2019/12/26,00:00:00,BTCUSDT Perpetual,0.01
2019/12/26,08:00:00,BTCUSDT Perpetual,0.01
2019/12/26,16:00:00,BTCUSDT Perpetual,0.01
2019/12/27,00:00:00,BTCUSDT Perpetual,0.0
2019/12/27,08:00:00,BTCUSDT Perpetual,0.0
2019/12/27,16:00:00,BTCUSDT Perpetual,-0.01
2019/12/28,00:00:00,BTCUSDT Perpetual,-0.01
2019/12/28,08:00:00,BTCUSDT Perpetual,-0.01
2019/12/28,16:00:00,BTCUSDT Perpetual,0.0
2019/12/29,00:00:00,BTCUSDT Perpetual,0.0
2019/12/29,08:00:00,BTCUSDT Perpetual,-0.02
2019/12/29,16:00:00,BTCUSDT Perpetual,0.01
2019/12/30,00:00:00,BTCUSDT Perpetual,-0.01
